Fecha,Hora,Categoría,Actividad / Lugar,Detalles,Reserva,Dirección,Web,Google Maps
03/04 (Vie),09:35-11:00,✈️ Vuelo,Vuelo Ida BCN→LTN,Vuelo W9 5362. 1 mochila 40x30x20 c/u,✅ Sí,"London Luton Airport, Airport Way, Luton LU2 9LY",https://www.wizzair.com,Ver en Google Maps
03/04 (Vie),11:30-13:00,🚆 Transporte,Luton → Londres Centro,Thameslink a St Pancras o Bus a Victoria,✅ Sí,"Luton Airport Parkway Station, Luton LU2 9QT",https://www.thameslinkrailway.com,Ver en Google Maps
03/04 (Vie),13:30-14:30,🍔 Comida,JD Wetherspoon (Africa House),Almuerzo rápido,❌ No,"64-68 Kingsway, London WC2B 6BG",https://www.jdwetherspoon.com/pubs/all-pubs/england/london/the-shakespeare-s-head-holborn,Ver en Google Maps
03/04 (Vie),15:00,🏨 Alojamiento,Thistle London Bloomsbury Park,Check-in hotel,✅ Sí,"126 Southampton Row, London WC1B 5AD",https://www.thistle.com/hotels/thistle-london-bloomsbury-park,Ver en Google Maps
03/04 (Vie),15:00-17:30,🗺️ Turismo,Free Tour Westminster,Punto de encuentro: Trafalgar Square,✅ Sí,"Trafalgar Square, London WC2N 5DN",https://www.guruwalk.com/london,Ver en Google Maps
03/04 (Vie),17:30-20:00,🗺️ Turismo,Covent Garden,Paseo por mercado y artistas callejeros,❌ No,"Covent Garden, London WC2E 8RF",https://www.coventgarden.london,Ver en Google Maps
03/04 (Vie),20:00-22:30,🍸 Cena / Ocio,Soho & Piccadilly Circus,Cena en Orient London + paseo luces neón,✅ Sí,"Orient London, 14 Wardour St, London W1D 6QG",https://www.orientlondon.com,Ver en Google Maps
04/04 (Sáb),09:30-12:30,🗺️ Turismo,Westminster & Southbank,"Big Ben, London Eye, paseo río Támesis",❌ No,"Westminster Bridge, London SE1 7PB",https://www.londoneye.com,Ver en Google Maps
04/04 (Sáb),13:00-14:30,🍔 Comida,Borough Market,Roast Hog o Padella,❌ No,"8 Southwark St, London SE1 1TL",https://boroughmarket.org.uk,Ver en Google Maps
04/04 (Sáb),15:00-17:00,🗺️ Turismo,Tower Bridge y Torre de Londres,Cruzar puente y fotos exteriores,❌ No,"Tower Bridge Rd, London SE1 2UP",https://www.towerbridge.org.uk,Ver en Google Maps
04/04 (Sáb),17:00-20:00,Descanso,Siesta en hotel,Descanso en Thistle Bloomsbury Park,❌ No,"126 Southampton Row, London WC1B 5AD",https://www.thistle.com/hotels/thistle-london-bloomsbury-park,Ver en Google Maps
04/04 (Sáb),20:00-22:00,🍷 Cena especial,Cena Romántica,Duck & Waffle o The Churchill Arms,✅ Sí,"Duck & Waffle: 110 Bishopsgate, London EC2N 4AY",https://duckandwaffle.com,Ver en Google Maps
04/04 (Sáb),22:00-00:00,🍸 Ocio,Secret Bar: The Vault,Bar secreto,✅ Sí,"The Vault, Milbank, London SW1P 4RR",https://www.thevaultlondon.com,Ver en Google Maps
05/04 (Dom),10:00-13:00,🗺️ Turismo,Brick Lane Market,Mercado dominical + Nude Coffee Roasters,❌ No,"Brick Lane, London E1 6QL",https://www.visitbricklane.org,Ver en Google Maps
05/04 (Dom),13:30-15:00,🍔 Comida,Sunday Roast,Pub clásico: The Lamb o The Princess Louise,✅ Sí,"The Princess Louise: 208 High Holborn, London WC1V 7BW",https://www.princesslouisepub.co.uk,Ver en Google Maps
05/04 (Dom),15:30-18:00,🏛️ Turismo,British Museum,"Entrada gratuita, al lado del hotel",✅ Sí,"Great Russell St, London WC1B 3DG",https://www.britishmuseum.org,Ver en Google Maps
05/04 (Dom),18:30-20:00,🌳 Turismo,Hyde Park,Paseo relajado o compras última hora,❌ No,"Hyde Park, London W2 2UH",https://www.royalparks.org.uk/parks/hyde-park,Ver en Google Maps
05/04 (Dom),21:30-23:00,🍸 Ocio,Sky Garden (Cóctel despedida),Reserva obligatoria gratuita,✅ Sí,"20 Fenchurch St, London EC3M 8AF",https://skygarden.london,Ver en Google Maps
06/04 (Lun),08:30-09:30,🍳 Comida,Desayuno Inglés,Full English Breakfast en 49 Café,❌ No,"49 Café, Museum St, London WC1",https://www.49cafe.co.uk,Ver en Google Maps
06/04 (Lun),10:00-11:30,🚆 Transporte,Salida a Luton,Thameslink desde St Pancras,✅ Sí,"St Pancras International, Euston Rd, London N1C 4QP",https://www.thameslinkrailway.com,Ver en Google Maps
06/04 (Lun),13:00-16:10,✈️ Vuelo,Vuelo Vuelta LTN→BCN,Vuelo FR 7807. Llegada T2 Barcelona,✅ Sí,"London Luton Airport, Airport Way, Luton LU2 9LY",https://www.ryanair.com,Ver en Google Maps
